team,opponent,wins,losses
teem-bahd-spelers,lumate,31,0
teem-bahd-spelers,null,55,0
teem-bahd-spelers,the-ancients-are-at-mac-ten-spittin,55,0
teem-bahd-spelers,petey-piranha,65,1
teem-bahd-spelers,little-team-of-horrors,30,0
teem-bahd-spelers,cognitive-play,43,63
teem-bahd-spelers,team-gen-knoxx,24,0
teem-bahd-spelers,mendelian-nightmare,31,6
teem-bahd-spelers,golbat-plants,40,76
teem-bahd-spelers,we-came-for-the-shirts,59,0
teem-bahd-spelers,the-square-roots,63,53
teem-bahd-spelers,7-liters-of-darkness,64,15
teem-bahd-spelers,farm-simulator-2014,80,0
teem-bahd-spelers,tbredblacktree,35,0
teem-bahd-spelers,the-deku-scrubs,88,0
bojibbles,kingdom-of-afternoon-naps,1,73
bojibbles,noobcoder,37,48
bojibbles,the-mad-robotanists,0,29
bojibbles,chios,19,47
bojibbles,wut,58,19
bojibbles,420_cultivate_it,6,71
bojibbles,binary-tree-stars,13,40
bojibbles,nausicaa,0,50
bojibbles,golbat-plants,0,34
bojibbles,needs-review,0,29
bojibbles,something-fun,0,50
bojibbles,the-goldman-clause,0,16
bojibbles,the-bagelers,0,49
bojibbles,null,10,72
bojibbles,nurv,67,14
bojibbles,linymf,48,14
bojibbles,paper-pumpkin-posse,0,31
bojibbles,u-w0t-m8,12,65
bojibbles,the-great-dequeue-tree,74,17
bojibbles,failedtomakeateamname_2jpg,0,49
bojibbles,rest-in-pepperonis,20,24
bojibbles,the-ladder-dwellers,64,22
bojibbles,sudo-team,69,16
bojibbles,one-man-down,0,52
bojibbles,ratchet-rockers,47,20
bojibbles,gg-no-re,62,11
bojibbles,farally,63,24
bojibbles,we-came-for-the-food,2,38
bojibbles,lumate,42,35
bojibbles,the-ancients-are-at-mac-ten-spittin,4,58
bojibbles,mendelian-nightmare,2,68
bojibbles,teem-bahd-spelers,0,27
bojibbles,little-team-of-horrors,32,24
bojibbles,farm-simulator-2014,5,47
bojibbles,cognitive-play,3,30
bojibbles,team-gen-knoxx,70,13
bojibbles,petey-piranha,2,53
bojibbles,oversized-grow-lamp,0,32
bojibbles,we-came-for-the-shirts,3,58
bojibbles,the-square-roots,1,37
bojibbles,7-liters-of-darkness,7,36
bojibbles,the-casuals,60,19
bojibbles,tbredblacktree,29,58
bojibbles,the-deku-scrubs,0,35
u-w0t-m8,noobcoder,32,0
u-w0t-m8,kingdom-of-afternoon-naps,32,35
u-w0t-m8,the-mad-robotanists,0,62
u-w0t-m8,the-casuals,33,0
u-w0t-m8,chios,53,0
u-w0t-m8,wut,48,1
u-w0t-m8,binary-tree-stars,65,3
u-w0t-m8,nausicaa,0,81
u-w0t-m8,needs-review,0,42
u-w0t-m8,something-fun,1,70
u-w0t-m8,the-goldman-clause,4,34
u-w0t-m8,the-bagelers,38,20
u-w0t-m8,null,76,1
u-w0t-m8,nurv,50,1
u-w0t-m8,gg-no-re,51,0
u-w0t-m8,linymf,36,0
u-w0t-m8,teem-bahd-spelers,0,73
u-w0t-m8,bojibbles,65,12
u-w0t-m8,the-great-dequeue-tree,58,0
u-w0t-m8,failedtomakeateamname_2jpg,1,71
u-w0t-m8,rest-in-pepperonis,42,0
u-w0t-m8,oversized-grow-lamp,1,58
u-w0t-m8,the-ladder-dwellers,53,0
u-w0t-m8,sudo-team,45,1
u-w0t-m8,one-man-down,25,39
u-w0t-m8,ratchet-rockers,65,0
u-w0t-m8,420_cultivate_it,52,2
u-w0t-m8,farally,60,5
u-w0t-m8,we-came-for-the-food,7,56
u-w0t-m8,lumate,47,0
u-w0t-m8,the-ancients-are-at-mac-ten-spittin,61,1
u-w0t-m8,petey-piranha,23,57
u-w0t-m8,paper-pumpkin-posse,0,59
u-w0t-m8,little-team-of-horrors,39,0
u-w0t-m8,cognitive-play,9,60
u-w0t-m8,team-gen-knoxx,31,0
u-w0t-m8,mendelian-nightmare,64,1
u-w0t-m8,golbat-plants,7,54
u-w0t-m8,we-came-for-the-shirts,56,1
u-w0t-m8,the-square-roots,3,90
u-w0t-m8,7-liters-of-darkness,19,48
u-w0t-m8,farm-simulator-2014,1,61
u-w0t-m8,tbredblacktree,41,17
u-w0t-m8,the-deku-scrubs,0,71
the-great-dequeue-tree,kingdom-of-afternoon-naps,17,69
the-great-dequeue-tree,noobcoder,58,16
the-great-dequeue-tree,the-mad-robotanists,0,22
the-great-dequeue-tree,the-casuals,82,26
the-great-dequeue-tree,chios,18,55
the-great-dequeue-tree,wut,48,45
the-great-dequeue-tree,420_cultivate_it,12,67
the-great-dequeue-tree,binary-tree-stars,1,36
the-great-dequeue-tree,nausicaa,0,36
the-great-dequeue-tree,golbat-plants,0,25
the-great-dequeue-tree,needs-review,0,17
the-great-dequeue-tree,something-fun,1,47
the-great-dequeue-tree,the-goldman-clause,0,29
the-great-dequeue-tree,the-bagelers,0,53
the-great-dequeue-tree,null,0,68
the-great-dequeue-tree,nurv,46,47
the-great-dequeue-tree,linymf,35,25
the-great-dequeue-tree,paper-pumpkin-posse,0,21
the-great-dequeue-tree,bojibbles,17,74
the-great-dequeue-tree,u-w0t-m8,0,58
the-great-dequeue-tree,failedtomakeateamname_2jpg,0,35
the-great-dequeue-tree,rest-in-pepperonis,25,35
the-great-dequeue-tree,the-ladder-dwellers,45,37
the-great-dequeue-tree,sudo-team,43,53
the-great-dequeue-tree,one-man-down,7,35
the-great-dequeue-tree,ratchet-rockers,13,63
the-great-dequeue-tree,gg-no-re,76,25
the-great-dequeue-tree,farally,17,50
the-great-dequeue-tree,lumate,44,49
the-great-dequeue-tree,we-came-for-the-food,0,34
the-great-dequeue-tree,the-ancients-are-at-mac-ten-spittin,1,61
the-great-dequeue-tree,petey-piranha,1,53
the-great-dequeue-tree,teem-bahd-spelers,0,28
the-great-dequeue-tree,little-team-of-horrors,27,53
the-great-dequeue-tree,cognitive-play,2,36
the-great-dequeue-tree,team-gen-knoxx,75,17
the-great-dequeue-tree,mendelian-nightmare,1,45
the-great-dequeue-tree,oversized-grow-lamp,0,26
the-great-dequeue-tree,we-came-for-the-shirts,5,66
the-great-dequeue-tree,the-square-roots,0,34
the-great-dequeue-tree,7-liters-of-darkness,5,48
the-great-dequeue-tree,farm-simulator-2014,0,30
the-great-dequeue-tree,tbredblacktree,15,54
the-great-dequeue-tree,the-deku-scrubs,0,31
failedtomakeateamname_2jpg,kingdom-of-afternoon-naps,54,0
failedtomakeateamname_2jpg,noobcoder,27,0
failedtomakeateamname_2jpg,the-mad-robotanists,0,55
failedtomakeateamname_2jpg,the-casuals,36,0
failedtomakeateamname_2jpg,chios,58,0
failedtomakeateamname_2jpg,wut,48,0
failedtomakeateamname_2jpg,420_cultivate_it,60,0
failedtomakeateamname_2jpg,binary-tree-stars,7,72
failedtomakeateamname_2jpg,nausicaa,54,22
failedtomakeateamname_2jpg,golbat-plants,5,65
failedtomakeateamname_2jpg,needs-review,2,62
failedtomakeateamname_2jpg,something-fun,0,72
failedtomakeateamname_2jpg,the-goldman-clause,0,61
failedtomakeateamname_2jpg,the-bagelers,2,67
failedtomakeateamname_2jpg,null,58,0
failedtomakeateamname_2jpg,nurv,42,0
failedtomakeateamname_2jpg,linymf,32,0
failedtomakeateamname_2jpg,teem-bahd-spelers,0,88
failedtomakeateamname_2jpg,bojibbles,49,0
failedtomakeateamname_2jpg,u-w0t-m8,71,1
failedtomakeateamname_2jpg,the-great-dequeue-tree,35,0
failedtomakeateamname_2jpg,rest-in-pepperonis,46,0
failedtomakeateamname_2jpg,the-ladder-dwellers,45,0
failedtomakeateamname_2jpg,sudo-team,32,0
failedtomakeateamname_2jpg,one-man-down,50,2
failedtomakeateamname_2jpg,ratchet-rockers,58,0
failedtomakeateamname_2jpg,gg-no-re,37,0
failedtomakeateamname_2jpg,farally,53,0
failedtomakeateamname_2jpg,lumate,34,0
failedtomakeateamname_2jpg,we-came-for-the-food,37,36
failedtomakeateamname_2jpg,the-ancients-are-at-mac-ten-spittin,77,0
failedtomakeateamname_2jpg,petey-piranha,71,0
failedtomakeateamname_2jpg,paper-pumpkin-posse,0,56
failedtomakeateamname_2jpg,little-team-of-horrors,59,0
failedtomakeateamname_2jpg,cognitive-play,8,49
failedtomakeateamname_2jpg,team-gen-knoxx,29,0
failedtomakeateamname_2jpg,mendelian-nightmare,59,15
failedtomakeateamname_2jpg,oversized-grow-lamp,0,76
failedtomakeateamname_2jpg,we-came-for-the-shirts,62,0
failedtomakeateamname_2jpg,the-square-roots,5,80
failedtomakeateamname_2jpg,7-liters-of-darkness,31,42
failedtomakeateamname_2jpg,farm-simulator-2014,3,69
failedtomakeateamname_2jpg,tbredblacktree,51,2
failedtomakeateamname_2jpg,the-deku-scrubs,0,83
rest-in-pepperonis,noobcoder,37,29
rest-in-pepperonis,kingdom-of-afternoon-naps,25,33
rest-in-pepperonis,the-mad-robotanists,0,30
rest-in-pepperonis,chios,18,48
rest-in-pepperonis,wut,43,23
rest-in-pepperonis,binary-tree-stars,1,58
rest-in-pepperonis,nausicaa,0,34
rest-in-pepperonis,golbat-plants,1,37
rest-in-pepperonis,needs-review,0,16
rest-in-pepperonis,something-fun,1,37
rest-in-pepperonis,the-goldman-clause,0,21
rest-in-pepperonis,the-bagelers,3,42
rest-in-pepperonis,null,29,21
rest-in-pepperonis,nurv,42,20
rest-in-pepperonis,gg-no-re,46,24
rest-in-pepperonis,linymf,43,20
rest-in-pepperonis,the-casuals,39,21
rest-in-pepperonis,bojibbles,24,20
rest-in-pepperonis,u-w0t-m8,0,42
rest-in-pepperonis,we-came-for-the-shirts,22,49
rest-in-pepperonis,the-great-dequeue-tree,35,25
rest-in-pepperonis,failedtomakeateamname_2jpg,0,46
rest-in-pepperonis,the-ladder-dwellers,36,21
rest-in-pepperonis,sudo-team,41,26
rest-in-pepperonis,one-man-down,9,39
rest-in-pepperonis,ratchet-rockers,34,29
rest-in-pepperonis,420_cultivate_it,28,33
rest-in-pepperonis,farally,22,37
rest-in-pepperonis,lumate,38,33
rest-in-pepperonis,we-came-for-the-food,0,32
rest-in-pepperonis,the-ancients-are-at-mac-ten-spittin,1,49
rest-in-pepperonis,mendelian-nightmare,1,44
rest-in-pepperonis,paper-pumpkin-posse,0,22
rest-in-pepperonis,little-team-of-horrors,22,48
rest-in-pepperonis,cognitive-play,2,41
rest-in-pepperonis,team-gen-knoxx,56,25
rest-in-pepperonis,petey-piranha,2,39
rest-in-pepperonis,oversized-grow-lamp,0,19
rest-in-pepperonis,teem-bahd-spelers,0,24
rest-in-pepperonis,the-square-roots,0,29
rest-in-pepperonis,7-liters-of-darkness,5,35
rest-in-pepperonis,farm-simulator-2014,0,31
rest-in-pepperonis,tbredblacktree,21,47
rest-in-pepperonis,the-deku-scrubs,0,25
the-ladder-dwellers,noobcoder,54,21
the-ladder-dwellers,kingdom-of-afternoon-naps,12,57
the-ladder-dwellers,the-mad-robotanists,0,37
the-ladder-dwellers,chios,11,78
the-ladder-dwellers,wut,53,45
the-ladder-dwellers,binary-tree-stars,0,38
the-ladder-dwellers,nausicaa,0,34
the-ladder-dwellers,golbat-plants,0,21
the-ladder-dwellers,the-goldman-clause,0,21
the-ladder-dwellers,something-fun,0,49
the-ladder-dwellers,needs-review,0,20
the-ladder-dwellers,the-bagelers,0,60
the-ladder-dwellers,the-casuals,84,30
the-ladder-dwellers,nurv,50,45
the-ladder-dwellers,gg-no-re,90,32
the-ladder-dwellers,linymf,39,36
the-ladder-dwellers,paper-pumpkin-posse,0,15
the-ladder-dwellers,bojibbles,22,64
the-ladder-dwellers,u-w0t-m8,0,53
the-ladder-dwellers,the-great-dequeue-tree,37,45
the-ladder-dwellers,failedtomakeateamname_2jpg,0,45
the-ladder-dwellers,rest-in-pepperonis,21,36
the-ladder-dwellers,sudo-team,54,48
the-ladder-dwellers,lumate,58,46
the-ladder-dwellers,one-man-down,3,36
the-ladder-dwellers,ratchet-rockers,15,59
the-ladder-dwellers,420_cultivate_it,8,66
the-ladder-dwellers,farally,30,45
the-ladder-dwellers,we-came-for-the-food,2,33
the-ladder-dwellers,null,2,49
the-ladder-dwellers,the-ancients-are-at-mac-ten-spittin,5,60
the-ladder-dwellers,mendelian-nightmare,1,67
the-ladder-dwellers,teem-bahd-spelers,0,23
the-ladder-dwellers,little-team-of-horrors,27,41
the-ladder-dwellers,cognitive-play,2,34
the-ladder-dwellers,team-gen-knoxx,65,26
the-ladder-dwellers,petey-piranha,0,43
the-ladder-dwellers,oversized-grow-lamp,0,21
the-ladder-dwellers,we-came-for-the-shirts,5,56
the-ladder-dwellers,the-square-roots,0,21
the-ladder-dwellers,7-liters-of-darkness,2,40
the-ladder-dwellers,farm-simulator-2014,0,44
the-ladder-dwellers,tbredblacktree,16,59
the-ladder-dwellers,the-deku-scrubs,0,33
sudo-team,noobcoder,48,19
sudo-team,kingdom-of-afternoon-naps,7,62
sudo-team,the-mad-robotanists,0,25
sudo-team,chios,23,53
sudo-team,wut,50,48
sudo-team,binary-tree-stars,1,50
sudo-team,nausicaa,0,33
sudo-team,golbat-plants,0,27
sudo-team,the-goldman-clause,0,22
sudo-team,something-fun,2,41
sudo-team,needs-review,0,20
sudo-team,the-bagelers,1,65
sudo-team,null,4,75
sudo-team,nurv,46,47
sudo-team,gg-no-re,74,30
sudo-team,linymf,36,51
sudo-team,the-casuals,88,26
sudo-team,bojibbles,16,69
sudo-team,u-w0t-m8,1,45
sudo-team,we-came-for-the-shirts,4,59
sudo-team,the-great-dequeue-tree,53,43
sudo-team,failedtomakeateamname_2jpg,0,32
sudo-team,rest-in-pepperonis,26,41
sudo-team,the-ladder-dwellers,48,54
sudo-team,one-man-down,3,57
sudo-team,ratchet-rockers,17,55
sudo-team,420_cultivate_it,6,64
sudo-team,farally,25,60
sudo-team,lumate,58,56
sudo-team,we-came-for-the-food,0,32
sudo-team,the-ancients-are-at-mac-ten-spittin,1,49
sudo-team,mendelian-nightmare,2,68
sudo-team,paper-pumpkin-posse,0,15
sudo-team,little-team-of-horrors,22,38
sudo-team,cognitive-play,4,27
sudo-team,team-gen-knoxx,54,19
sudo-team,petey-piranha,4,44
sudo-team,oversized-grow-lamp,0,19
sudo-team,teem-bahd-spelers,0,25
sudo-team,the-square-roots,0,23
sudo-team,7-liters-of-darkness,1,40
sudo-team,farm-simulator-2014,0,33
sudo-team,tbredblacktree,22,57
sudo-team,the-deku-scrubs,0,21
one-man-down,noobcoder,28,12
one-man-down,kingdom-of-afternoon-naps,35,4
one-man-down,the-mad-robotanists,0,59
one-man-down,the-casuals,35,0
one-man-down,chios,42,9
one-man-down,wut,33,1
one-man-down,binary-tree-stars,20,44
one-man-down,nausicaa,3,68
one-man-down,needs-review,0,34
one-man-down,something-fun,56,1
one-man-down,the-goldman-clause,0,40
one-man-down,the-bagelers,16,36
one-man-down,null,61,0
one-man-down,nurv,35,2
one-man-down,gg-no-re,26,7
one-man-down,linymf,31,5
one-man-down,paper-pumpkin-posse,0,46
one-man-down,bojibbles,52,0
one-man-down,u-w0t-m8,39,25
one-man-down,the-great-dequeue-tree,35,7
one-man-down,failedtomakeateamname_2jpg,2,50
one-man-down,rest-in-pepperonis,39,9
one-man-down,oversized-grow-lamp,0,34
one-man-down,the-ladder-dwellers,36,3
one-man-down,sudo-team,57,3
one-man-down,ratchet-rockers,42,11
one-man-down,420_cultivate_it,31,7
one-man-down,farally,46,5
one-man-down,we-came-for-the-food,4,59
one-man-down,lumate,29,10
one-man-down,the-ancients-are-at-mac-ten-spittin,33,20
one-man-down,mendelian-nightmare,2,45
one-man-down,teem-bahd-spelers,0,51
one-man-down,little-team-of-horrors,46,0
one-man-down,cognitive-play,0,41
one-man-down,team-gen-knoxx,34,0
one-man-down,petey-piranha,20,35
one-man-down,golbat-plants,0,51
one-man-down,we-came-for-the-shirts,47,0
one-man-down,the-square-roots,1,51
one-man-down,7-liters-of-darkness,12,44
one-man-down,farm-simulator-2014,6,39
one-man-down,tbredblacktree,52,9
one-man-down,the-deku-scrubs,11,49
ratchet-rockers,noobcoder,47,9
ratchet-rockers,kingdom-of-afternoon-naps,53,13
ratchet-rockers,the-mad-robotanists,0,37
ratchet-rockers,the-casuals,63,2
ratchet-rockers,chios,60,13
ratchet-rockers,wut,55,12
ratchet-rockers,binary-tree-stars,16,59
ratchet-rockers,nausicaa,0,49
ratchet-rockers,golbat-plants,0,38
ratchet-rockers,the-goldman-clause,0,27
ratchet-rockers,something-fun,2,50
ratchet-rockers,needs-review,0,46
ratchet-rockers,the-bagelers,1,46
ratchet-rockers,null,0,58
ratchet-rockers,nurv,73,9
ratchet-rockers,gg-no-re,44,19
ratchet-rockers,linymf,45,13
ratchet-rockers,paper-pumpkin-posse,0,27
ratchet-rockers,bojibbles,20,47
ratchet-rockers,u-w0t-m8,0,65
ratchet-rockers,the-great-dequeue-tree,63,13
ratchet-rockers,failedtomakeateamname_2jpg,0,58
ratchet-rockers,rest-in-pepperonis,29,34
ratchet-rockers,the-ladder-dwellers,59,15
ratchet-rockers,sudo-team,55,17
ratchet-rockers,one-man-down,11,42
ratchet-rockers,420_cultivate_it,29,43
ratchet-rockers,farally,41,40
ratchet-rockers,lumate,83,6
ratchet-rockers,we-came-for-the-food,1,36
ratchet-rockers,the-ancients-are-at-mac-ten-spittin,8,57
ratchet-rockers,mendelian-nightmare,7,53
ratchet-rockers,teem-bahd-spelers,0,53
ratchet-rockers,little-team-of-horrors,37,22
ratchet-rockers,cognitive-play,1,39
ratchet-rockers,team-gen-knoxx,62,4
ratchet-rockers,petey-piranha,7,64
ratchet-rockers,oversized-grow-lamp,0,49
ratchet-rockers,we-came-for-the-shirts,19,40
ratchet-rockers,the-square-roots,0,45
ratchet-rockers,7-liters-of-darkness,6,58
ratchet-rockers,farm-simulator-2014,0,44
ratchet-rockers,tbredblacktree,36,39
ratchet-rockers,the-deku-scrubs,0,39
420_cultivate_it,kingdom-of-afternoon-naps,0,70
420_cultivate_it,noobcoder,27,29
420_cultivate_it,the-mad-robotanists,0,30
420_cultivate_it,chios,3,65
420_cultivate_it,wut,64,11
420_cultivate_it,binary-tree-stars,9,51
420_cultivate_it,nausicaa,14,29
420_cultivate_it,golbat-plants,0,48
420_cultivate_it,the-goldman-clause,0,33
420_cultivate_it,something-fun,0,65
420_cultivate_it,needs-review,0,34
420_cultivate_it,the-bagelers,0,60
420_cultivate_it,null,12,54
420_cultivate_it,nurv,72,6
420_cultivate_it,linymf,48,7
420_cultivate_it,paper-pumpkin-posse,0,23
420_cultivate_it,bojibbles,71,6
420_cultivate_it,u-w0t-m8,2,52
420_cultivate_it,the-great-dequeue-tree,67,12
420_cultivate_it,failedtomakeateamname_2jpg,0,60
420_cultivate_it,rest-in-pepperonis,33,28
420_cultivate_it,the-ladder-dwellers,66,8
420_cultivate_it,sudo-team,64,6
420_cultivate_it,one-man-down,7,31
420_cultivate_it,ratchet-rockers,43,29
420_cultivate_it,gg-no-re,55,28
420_cultivate_it,farally,61,11
420_cultivate_it,lumate,41,31
420_cultivate_it,we-came-for-the-food,0,52
420_cultivate_it,the-ancients-are-at-mac-ten-spittin,1,66
420_cultivate_it,mendelian-nightmare,19,36
420_cultivate_it,teem-bahd-spelers,0,27
420_cultivate_it,little-team-of-horrors,37,15
420_cultivate_it,farm-simulator-2014,0,44
420_cultivate_it,cognitive-play,1,54
420_cultivate_it,team-gen-knoxx,59,0
420_cultivate_it,petey-piranha,0,51
420_cultivate_it,oversized-grow-lamp,0,33
420_cultivate_it,we-came-for-the-shirts,21,57
420_cultivate_it,the-square-roots,0,43
420_cultivate_it,7-liters-of-darkness,4,55
420_cultivate_it,the-casuals,89,0
420_cultivate_it,tbredblacktree,53,10
420_cultivate_it,the-deku-scrubs,0,42
farally,noobcoder,38,15
farally,kingdom-of-afternoon-naps,12,44
farally,the-mad-robotanists,0,33
farally,chios,28,44
farally,wut,40,32
farally,binary-tree-stars,1,59
farally,nausicaa,0,50
farally,golbat-plants,0,35
farally,the-goldman-clause,0,35
farally,something-fun,2,42
farally,needs-review,0,30
farally,the-bagelers,1,48
farally,null,22,47
farally,nurv,51,34
farally,gg-no-re,75,9
farally,linymf,49,21
farally,the-casuals,78,19
farally,bojibbles,24,63
farally,u-w0t-m8,5,60
farally,we-came-for-the-shirts,10,64
farally,the-great-dequeue-tree,50,17
farally,failedtomakeateamname_2jpg,0,53
farally,rest-in-pepperonis,37,22
farally,the-ladder-dwellers,45,30
farally,sudo-team,60,25
farally,one-man-down,5,46
farally,ratchet-rockers,40,41
farally,420_cultivate_it,11,61
farally,we-came-for-the-food,1,48
farally,lumate,54,32
farally,the-ancients-are-at-mac-ten-spittin,7,41
farally,petey-piranha,3,52
farally,paper-pumpkin-posse,0,17
farally,little-team-of-horrors,49,16
farally,cognitive-play,1,42
farally,team-gen-knoxx,55,13
farally,mendelian-nightmare,4,44
farally,oversized-grow-lamp,0,35
farally,teem-bahd-spelers,1,18
farally,the-square-roots,0,40
farally,7-liters-of-darkness,4,57
farally,farm-simulator-2014,0,34
farally,tbredblacktree,33,66
farally,the-deku-scrubs,0,49
we-came-for-the-food,kingdom-of-afternoon-naps,55,0
we-came-for-the-food,noobcoder,24,0
we-came-for-the-food,the-mad-robotanists,0,95
we-came-for-the-food,the-casuals,22,7
we-came-for-the-food,chios,36,0
we-came-for-the-food,wut,36,1
we-came-for-the-food,binary-tree-stars,50,0
we-came-for-the-food,nausicaa,52,19
we-came-for-the-food,the-goldman-clause,10,68
we-came-for-the-food,something-fun,36,27
we-came-for-the-food,needs-review,23,48
we-came-for-the-food,the-bagelers,67,1
we-came-for-the-food,null,28,24
we-came-for-the-food,nurv,30,0
we-came-for-the-food,gg-no-re,26,0
we-came-for-the-food,linymf,31,0
we-came-for-the-food,teem-bahd-spelers,54,46
we-came-for-the-food,bojibbles,38,2
we-came-for-the-food,u-w0t-m8,56,7
we-came-for-the-food,the-great-dequeue-tree,34,0
we-came-for-the-food,failedtomakeateamname_2jpg,36,37
we-came-for-the-food,rest-in-pepperonis,32,0
we-came-for-the-food,oversized-grow-lamp,0,106
we-came-for-the-food,the-ladder-dwellers,33,2
we-came-for-the-food,sudo-team,32,0
we-came-for-the-food,one-man-down,59,4
we-came-for-the-food,ratchet-rockers,36,1
we-came-for-the-food,420_cultivate_it,52,0
we-came-for-the-food,farally,48,1
we-came-for-the-food,lumate,36,0
we-came-for-the-food,the-ancients-are-at-mac-ten-spittin,43,11
we-came-for-the-food,petey-piranha,59,42
we-came-for-the-food,paper-pumpkin-posse,54,45
we-came-for-the-food,little-team-of-horrors,24,13
we-came-for-the-food,cognitive-play,83,5
we-came-for-the-food,team-gen-knoxx,33,23
we-came-for-the-food,mendelian-nightmare,74,0
we-came-for-the-food,golbat-plants,110,1
we-came-for-the-food,we-came-for-the-shirts,52,0
we-came-for-the-food,the-square-roots,22,61
we-came-for-the-food,7-liters-of-darkness,41,20
we-came-for-the-food,farm-simulator-2014,36,33
we-came-for-the-food,tbredblacktree,51,0
we-came-for-the-food,the-deku-scrubs,10,58
lumate,kingdom-of-afternoon-naps,39,31
lumate,noobcoder,85,17
lumate,the-mad-robotanists,0,30
lumate,the-casuals,0,111
lumate,chios,40,42
lumate,wut,42,73
lumate,420_cultivate_it,31,41
lumate,binary-tree-stars,18,39
lumate,nausicaa,0,29
lumate,needs-review,0,16
lumate,something-fun,15,28
lumate,the-goldman-clause,0,14
lumate,the-bagelers,22,27
lumate,null,0,41
lumate,nurv,28,52
lumate,linymf,32,50
lumate,teem-bahd-spelers,0,31
lumate,bojibbles,35,42
lumate,u-w0t-m8,0,47
lumate,the-great-dequeue-tree,49,44
lumate,failedtomakeateamname_2jpg,0,34
lumate,rest-in-pepperonis,33,38
lumate,oversized-grow-lamp,0,16
lumate,the-ladder-dwellers,46,58
lumate,sudo-team,56,58
lumate,one-man-down,10,29
lumate,ratchet-rockers,6,83
lumate,gg-no-re,81,17
lumate,farally,32,54
lumate,we-came-for-the-food,0,36
lumate,the-ancients-are-at-mac-ten-spittin,4,45
lumate,mendelian-nightmare,5,55
lumate,paper-pumpkin-posse,0,17
lumate,little-team-of-horrors,5,58
lumate,cognitive-play,2,45
lumate,team-gen-knoxx,0,99
lumate,petey-piranha,3,30
lumate,golbat-plants,0,29
lumate,we-came-for-the-shirts,9,48
lumate,the-square-roots,0,26
lumate,7-liters-of-darkness,4,32
lumate,farm-simulator-2014,1,28
lumate,tbredblacktree,32,45
lumate,the-deku-scrubs,0,27
the-ancients-are-at-mac-ten-spittin,kingdom-of-afternoon-naps,42,13
the-ancients-are-at-mac-ten-spittin,noobcoder,28,6
the-ancients-are-at-mac-ten-spittin,the-mad-robotanists,0,57
the-ancients-are-at-mac-ten-spittin,the-casuals,37,0
the-ancients-are-at-mac-ten-spittin,chios,51,15
the-ancients-are-at-mac-ten-spittin,wut,55,4
the-ancients-are-at-mac-ten-spittin,binary-tree-stars,43,26
the-ancients-are-at-mac-ten-spittin,nausicaa,0,68
the-ancients-are-at-mac-ten-spittin,golbat-plants,3,56
the-ancients-are-at-mac-ten-spittin,needs-review,0,46
the-ancients-are-at-mac-ten-spittin,something-fun,34,28
the-ancients-are-at-mac-ten-spittin,the-goldman-clause,0,47
the-ancients-are-at-mac-ten-spittin,the-bagelers,60,9
the-ancients-are-at-mac-ten-spittin,null,27,30
the-ancients-are-at-mac-ten-spittin,nurv,63,1
the-ancients-are-at-mac-ten-spittin,gg-no-re,42,0
the-ancients-are-at-mac-ten-spittin,linymf,46,2
the-ancients-are-at-mac-ten-spittin,teem-bahd-spelers,0,55
the-ancients-are-at-mac-ten-spittin,bojibbles,58,4
the-ancients-are-at-mac-ten-spittin,u-w0t-m8,1,61
the-ancients-are-at-mac-ten-spittin,the-great-dequeue-tree,61,1
the-ancients-are-at-mac-ten-spittin,failedtomakeateamname_2jpg,0,77
the-ancients-are-at-mac-ten-spittin,rest-in-pepperonis,49,1
the-ancients-are-at-mac-ten-spittin,the-ladder-dwellers,60,5
the-ancients-are-at-mac-ten-spittin,sudo-team,49,1
the-ancients-are-at-mac-ten-spittin,one-man-down,20,33
the-ancients-are-at-mac-ten-spittin,ratchet-rockers,57,8
the-ancients-are-at-mac-ten-spittin,420_cultivate_it,66,1
the-ancients-are-at-mac-ten-spittin,farally,41,7
the-ancients-are-at-mac-ten-spittin,we-came-for-the-food,11,43
the-ancients-are-at-mac-ten-spittin,lumate,45,4
the-ancients-are-at-mac-ten-spittin,petey-piranha,0,73
the-ancients-are-at-mac-ten-spittin,paper-pumpkin-posse,1,55
the-ancients-are-at-mac-ten-spittin,little-team-of-horrors,48,13
the-ancients-are-at-mac-ten-spittin,cognitive-play,15,49
the-ancients-are-at-mac-ten-spittin,team-gen-knoxx,34,0
the-ancients-are-at-mac-ten-spittin,mendelian-nightmare,53,6
the-ancients-are-at-mac-ten-spittin,oversized-grow-lamp,0,57
the-ancients-are-at-mac-ten-spittin,we-came-for-the-shirts,57,13
the-ancients-are-at-mac-ten-spittin,the-square-roots,0,57
the-ancients-are-at-mac-ten-spittin,7-liters-of-darkness,18,49
the-ancients-are-at-mac-ten-spittin,farm-simulator-2014,0,69
the-ancients-are-at-mac-ten-spittin,tbredblacktree,73,0
the-ancients-are-at-mac-ten-spittin,the-deku-scrubs,0,67
mendelian-nightmare,kingdom-of-afternoon-naps,63,8
mendelian-nightmare,noobcoder,48,1
mendelian-nightmare,the-mad-robotanists,4,60
mendelian-nightmare,chios,50,6
mendelian-nightmare,wut,53,0
mendelian-nightmare,binary-tree-stars,0,63
mendelian-nightmare,nausicaa,0,56
mendelian-nightmare,needs-review,0,40
mendelian-nightmare,something-fun,32,38
mendelian-nightmare,the-goldman-clause,1,50
mendelian-nightmare,the-bagelers,58,19
mendelian-nightmare,null,22,37
mendelian-nightmare,nurv,64,1
